name,games,win_percent,score_avg,goal_avg,assist_avg,save_avg,shot_avg,shot_percent,goal_participation_percent,overall_rating_avg
Timbathy,52,59.62%,211.73,0.79,0.54,1.19,2.15,36.61%,51.11%,0.930

Arsenal,588,61.90%,347.83,0.62,0.55,1.41,2.53,24.48%,56.22%,0.928

Msh,64,43.75%,335.06,0.56,0.55,1.67,2.08,27.07%,57.26%,0.928

Scarth,340,49.12%,338.76,0.60,0.59,1.42,2.42,24.94%,54.59%,0.927

Shea,73,41.10%,334.23,0.73,0.41,1.32,2.47,29.44%,59.29%,0.926

ianpinheiro,293,48.81%,357.53,0.61,0.55,1.44,2.69,22.69%,60.89%,0.926

FlamE,620,50.97%,341.18,0.59,0.53,1.55,2.46,23.95%,57.50%,0.926

Tahz,118,46.61%,355.88,0.57,0.44,1.79,2.29,24.81%,54.34%,0.926

Sharp,98,32.65%,343.32,0.67,0.37,1.53,2.44,27.62%,61.08%,0.925

Kinseh,295,48.81%,371.63,0.60,0.48,1.76,2.69,22.26%,56.46%,0.925

Cruzza,139,46.04%,339.71,0.65,0.55,1.45,2.37,27.66%,53.33%,0.924

Turinturo,496,53.63%,354.82,0.53,0.56,1.65,2.49,21.36%,54.10%,0.924

Flasheeyy,261,42.15%,364.79,0.63,0.46,1.61,2.59,24.22%,59.33%,0.923

Emre,62,37.10%,356.44,0.56,0.48,1.65,2.40,23.49%,64.36%,0.923

Tool,162,45.68%,356.63,0.58,0.49,1.71,2.58,22.49%,58.19%,0.923

Chippy,243,48.15%,352.06,0.64,0.42,1.54,2.48,25.87%,58.54%,0.922

Plitz,74,37.84%,241.49,0.74,0.46,1.16,2.66,27.92%,64.49%,0.922

sigms,86,50.00%,356.55,0.50,0.71,1.53,2.23,22.40%,57.46%,0.922

Paschy90,346,53.76%,245.03,0.73,0.53,1.35,2.46,29.49%,60.73%,0.922

Sour,264,45.08%,344.94,0.67,0.46,1.45,2.46,27.23%,53.68%,0.922

Espeon,163,48.47%,238.01,0.81,0.39,1.23,2.73,29.66%,66.33%,0.921

Dappur,283,44.52%,298.98,0.64,0.43,1.66,2.47,25.75%,60.64%,0.921

Tylacto,95,33.68%,282.32,0.59,0.57,1.66,2.20,26.79%,69.62%,0.921

BoyScHool Q,115,46.09%,371.57,0.60,0.45,1.74,2.37,25.37%,57.62%,0.920

Iryzer,51,37.25%,348.22,0.67,0.35,1.43,2.96,22.52%,61.90%,0.920

Venom,69,56.52%,352.35,0.58,0.64,1.58,2.33,24.84%,54.55%,0.920

Buddy,158,43.04%,362.87,0.61,0.44,1.50,3.16,19.44%,62.31%,0.920

Sempa,96,39.58%,350.46,0.55,0.56,1.58,2.61,21.12%,61.49%,0.920

delta,345,50.14%,343.72,0.62,0.49,1.40,2.57,24.13%,63.10%,0.918

BRUNOVISQUII,536,48.69%,351.21,0.55,0.59,1.55,2.15,25.54%,58.55%,0.918

Turtle,198,53.03%,223.64,0.72,0.61,1.18,2.43,29.73%,57.05%,0.918

Sea-Bass,247,36.44%,327.35,0.59,0.47,1.81,2.48,23.69%,60.05%,0.917

remkoe,532,52.26%,286.39,0.69,0.49,1.43,2.70,25.73%,58.39%,0.917

Spratt,397,53.90%,332.52,0.65,0.55,1.24,2.41,26.99%,55.61%,0.917

CJM,349,43.84%,324.23,0.64,0.49,1.44,2.46,26.05%,58.52%,0.917

Freshness,256,44.53%,373.41,0.56,0.43,1.81,2.88,19.51%,57.34%,0.917

Specs,64,43.75%,336.50,0.56,0.66,1.28,2.36,23.84%,57.35%,0.916

Dark,55,32.73%,324.11,0.69,0.44,1.27,2.35,29.46%,63.92%,0.915

EyeIgnite,187,43.85%,324.32,0.66,0.41,1.58,2.73,24.07%,63.58%,0.915

Snowy,409,52.81%,336.86,0.64,0.50,1.47,2.30,27.95%,54.69%,0.915

ElOmarMaton,90,48.89%,360.92,0.57,0.50,1.63,2.56,22.17%,60.76%,0.913

money,146,45.21%,354.37,0.59,0.51,1.41,2.41,24.43%,61.22%,0.913

Cheery,68,39.71%,331.15,0.78,0.41,1.09,2.41,32.32%,61.83%,0.913

Lethamyr,234,47.01%,294.53,0.63,0.47,1.62,2.71,23.19%,60.28%,0.912

Barist,107,49.53%,351.86,0.63,0.42,1.54,2.92,21.47%,49.34%,0.912

arju,308,54.87%,360.25,0.57,0.51,1.55,2.64,21.55%,56.25%,0.912

womped,72,41.67%,385.54,0.60,0.36,1.93,2.72,21.94%,57.98%,0.911

HAZA,172,40.70%,363.25,0.59,0.41,1.87,2.58,22.75%,55.13%,0.911

dead.,262,49.62%,347.21,0.63,0.44,1.49,2.59,24.15%,57.56%,0.911

Noxes,83,43.37%,348.96,0.53,0.47,1.76,2.47,21.46%,56.85%,0.910

bluey.,487,50.31%,340.74,0.52,0.56,1.69,2.51,20.72%,56.93%,0.910

waiwai,61,50.82%,341.33,0.70,0.36,1.43,2.31,30.50%,64.36%,0.909

.tristn,234,47.44%,359.37,0.58,0.46,1.64,2.86,20.33%,56.51%,0.909

Joel,180,37.78%,348.21,0.58,0.54,1.48,2.32,25.18%,62.93%,0.909

Nitrous,78,41.03%,337.50,0.64,0.58,1.18,2.77,23.15%,62.91%,0.909

Rizex45,276,47.46%,367.51,0.54,0.48,1.76,2.64,20.27%,55.67%,0.909

